type,name,abbreviation
microsoft.databricks/workspaces,Azure Databricks,dbw
microsoft.eventgrid/domains,Event Grid,evg
microsoft.web/serverfarms,App Service Plan,asp
microsoft.virtualmachineimages/imagetemplates,Image template,it
microsoft.compute/virtualmachines,Virtual machine,vm
microsoft.compute/virtualmachinescalesets,Virtual machine scale set,vmss
microsoft.containerregistry/registries,Container registry,cr
microsoft.documentdb/databaseaccounts/sqldatabases,Azure Cosmos DB database,cosmos
microsoft.sql/servers/databases,Azure SQL database,sqldb
microsoft.operationalinsights/workspaces,Log Analytics workspace,log
microsoft.network/applicationgateways,Application gateway,agw
microsoft.network/connections,Ddos Protection Plan,ddos
microsoft.network/privatednszones,Private DNS Zone,pvdnsz
microsoft.network/azurefirewalls,Azure Firewall,afw
microsoft.network/expressroutecircuits,ExpressRoute circuit,erc
microsoft.network/expressroutegateway,ExpressRoute Gateway,erg
microsoft.cdn/profiles,Azure Front Door,afd
microsoft.network/loadbalancers,Load balancer,lb
microsoft.network/networksecuritygroups,Network security group,nsg
microsoft.network/networkwatchers,Network Watcher,nw
microsoft.network/privateendpoints,Private endpoint,pep
microsoft.network/publicipaddresses,Public IP,pip
microsoft.network/routetables,Route table,rt
microsoft.network/trafficmanagerprofiles,Traffic Manager profiles,traf
microsoft.network/virtualnetworks,Virtual network,vnet
microsoft.keyvault/vaults,Key vault,kv
microsoft.network/vpngateways,VPN Gateway,vpng
microsoft.network/firewallpolicies,Web Application Firewall,waf
microsoft.netapp/netappaccounts,Azure Netapp Files,anf
microsoft.storage/storageaccounts,Storage account,st
